spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,Label,inherit,viagra,password,num_char,line_breaks,format,Content,exclaim_subj,urgent_subj,exclaim_mess,number
0,1,1,0,0,2012-01-06T20:14:47Z,0,0,0,no,0,0,0,4.415,61,0,AAAA,0,0,1,small
0,0,1,1,1,2012-03-21T15:39:21Z,0,0,0,no,0,0,0,14.156,300,1,AAAA,0,0,0,small
0,0,1,0,1,2012-02-13T20:19:36Z,0,0,0,no,0,0,0,9.491,233,1,AAAA,0,0,18,small
0,0,1,0,0,2012-01-25T22:18:37Z,0,0,0,no,0,0,0,24.837,629,1,AAAA,0,0,1,small
0,0,1,0,0,2012-01-24T23:44:52Z,0,0,0,no,0,0,0,0.684,17,1,AAAA,0,0,1,small
1,0,1,0,0,2012-02-29T23:36:55Z,0,0,0,no,0,0,0,13.502,193,0,ZZZZZ,0,0,1,none
0,1,1,0,0,2012-03-06T14:10:00Z,0,0,0,no,0,0,0,2.789,44,0,ZZZZZ,0,0,0,small
0,0,1,0,1,2012-03-14T17:08:27Z,0,0,0,no,0,0,0,1.169,35,1,ZZZZZ,0,0,0,small
0,0,1,1,1,2012-02-10T16:27:48Z,0,0,0,no,0,0,0,8.937,211,1,ZZZZZ,0,0,2,small
0,0,1,0,0,2012-01-04T18:27:36Z,0,0,0,no,0,0,0,15.829,242,1,ZZZZZ,0,0,4,small
